"","Country","Year","Electricity/Heat (CO2) (MtCO2)","Manufacturing/Construction (CO2) (MtCO2)","Transportation (CO2) (MtCO2)","Other Fuel Combustion (CO2) (MtCO2)","Fugitive Emissions (CO2) (MtCO2)"
"4089","Russian Federation",1992,1205.18,249.42,278.22,256.99,19.3557
"4090","Rwanda",1992,NA,NA,NA,NA,0
"4091","Saint Kitts & Nevis",1992,NA,NA,NA,NA,0
"4092","Saint Lucia",1992,NA,NA,NA,NA,0
"4093","Saint Vincent & Grenadines",1992,NA,NA,NA,NA,0
"4094","Samoa",1992,NA,NA,NA,NA,0
"4095","Sao Tome & Principe",1992,NA,NA,NA,NA,0
"4096","Saudi Arabia",1992,81.28,33.72,53.97,2.68,21.2998
"4097","Senegal",1992,0.94,0.28,0.78,0.31,0
"4098","Serbia",1992,33.63,7.54,2.24,4.13,NA
"4099","Seychelles",1992,NA,NA,NA,NA,0
"4100","Sierra Leone",1992,NA,NA,NA,NA,0
"4101","Singapore",1992,25.58,1.53,4.71,0.72,0
"4102","Slovakia",1992,16.12,14.56,3.51,11.16,NA
"4103","Slovenia",1992,5.87,1.83,2.53,2.06,0
"4104","Solomon Islands",1992,NA,NA,NA,NA,0
"4105","South Africa",1992,144.74,56.35,29.76,14.52,0
"4106","Spain",1992,87.8,44.05,68.94,23.63,0.1189
"4107","Sri Lanka",1992,0.79,0.59,2.77,0.72,0
"4108","Sudan",1992,0.5,0.89,3.09,0.16,0
"4109","Suriname",1992,NA,NA,NA,NA,0
"4110","Swaziland",1992,NA,NA,NA,NA,0
"4111","Sweden",1992,11.62,14.03,20.21,10.29,0
"4112","Switzerland",1992,3.06,6.14,15.19,19.76,0
"4113","Syria",1992,8.35,5.29,7.08,8.71,1.6104
"4114","Tajikistan",1992,1.68,0,0.36,5.38,0
"4115","Tanzania",1992,0.29,0.39,0.68,0.31,0
"4116","Thailand",1992,40.1,19.47,29.7,8.47,0
"4117","Togo",1992,0.04,0.01,0.27,0.05,0
"4118","Tonga",1992,NA,NA,NA,NA,0
"4119","Trinidad & Tobago",1992,5.36,5.04,1.34,0.23,3.5502
"4120","Tunisia",1992,4.62,3.36,2.61,2.56,0.0191
"4121","Turkey",1992,43.66,34.58,27.03,29.3,0.0304
"4122","Turkmenistan",1992,6.06,1.16,5.99,14.4,0
"4123","Uganda",1992,NA,NA,NA,NA,0
"4124","Ukraine",1992,270.09,186.36,40.56,62.46,0
"4125","United Arab Emirates",1992,14.86,29.8,11.68,0.27,1.5292
"4126","United Kingdom",1992,242.3,77.53,115.16,114.26,0
"4127","United States",1992,2251.15,607.72,1423.24,608.06,9.4664
"4128","Uruguay",1992,1.08,0.78,1.72,1.09,0
"4129","Uzbekistan",1992,47.88,3.78,6.6,55.88,0
"4130","Vanuatu",1992,NA,NA,NA,NA,0
"4131","Venezuela",1992,42.75,27.21,29.48,5.65,7.2356
"4132","Vietnam",1992,3,7.51,4.37,3.4,0
"4133","World",1992,8814.66,4359.07,4730.53,3159.44,202.8538
"4134","Yemen",1992,2.26,0,5.35,1.09,0
"4135","Zambia",1992,0.17,1.4,0.92,0.25,0
"4136","Zimbabwe",1992,8.65,4.53,2.19,2.42,0
"4137","Afghanistan",1993,NA,NA,NA,NA,0
"4138","Albania",1993,0.56,0.77,0.5,0.39,0
"4139","Algeria",1993,25.25,8.36,16.79,8.16,13.7877
"4140","Angola",1993,0.34,2.25,1.2,0.51,2.5851
"4141","Antigua & Barbuda",1993,NA,NA,NA,NA,0
"4142","Argentina",1993,34.01,16.11,35.39,22.81,4.1789
"4143","Armenia",1993,0.81,2.1,1.18,0.91,0
"4144","Australia",1993,146.8,47.33,62.54,12.89,0.3659
"4145","Austria",1993,17.48,10.08,15.14,13.25,0
"4146","Azerbaijan",1993,22.29,9.76,3.68,4.11,15.8383
"4147","Bahamas, The",1993,NA,NA,NA,NA,0
"4148","Bahrain",1993,11.71,1.82,1.15,0.15,0
"4149","Bangladesh",1993,5.77,4.24,2.15,3.05,0
"4150","Barbados",1993,NA,NA,NA,NA,0
"4151","Belarus",1993,46.08,13.8,9.38,13.96,0
"4152","Belgium",1993,30.6,27.91,22.36,28.9,0
"4153","Belize",1993,NA,NA,NA,NA,0
"4154","Benin",1993,0.03,0.03,0.12,0.03,0
"4155","Bhutan",1993,NA,NA,NA,NA,0
"4156","Bolivia",1993,1.59,0.73,2.65,0.66,1.7563
"4157","Bosnia & Herzegovina",1993,5.87,2.68,0.84,3.73,0
"4158","Botswana",1993,1.61,0.63,0.79,0.17,0
"4159","Brazil",1993,30.01,62.04,89.15,29.48,1.8434
"4160","Brunei",1993,2.94,0.18,0.68,0.06,0
"4161","Bulgaria",1993,37.54,7.67,4.27,5.66,0
"4162","Burkina Faso",1993,NA,NA,NA,NA,0
"4163","Burundi",1993,NA,NA,NA,NA,0
"4164","Cambodia",1993,NA,NA,NA,NA,0
"4165","Cameroon",1993,0.03,0.2,1.67,0.55,3.9687
"4166","Canada",1993,137.28,83.83,126.29,86.88,4.2687
"4167","Cape Verde",1993,NA,NA,NA,NA,0
"4168","Central African Republic",1993,NA,NA,NA,NA,0
"4169","Chad",1993,NA,NA,NA,NA,0
"4170","Chile",1993,7.14,9.61,11.29,4.35,0.1566
"4171","China",1993,981.06,1061.22,141.96,476.74,0
"4172","Colombia",1993,13.95,18.09,18.08,5.56,0.3202
"4173","Comoros",1993,NA,NA,NA,NA,0
"4174","Congo, Dem. Rep.",1993,0.06,0.01,0.44,0.87,0
"4175","Congo, Rep.",1993,0,0.07,0.44,0.08,2.3666
"4176","Cook Islands",1993,NA,NA,NA,NA,0
"4177","Costa Rica",1993,0.49,0.57,2.44,0.27,0
"4178","Cote d'Ivoire",1993,0.92,0.45,1.09,0.52,0
"4179","Croatia",1993,6.71,3.55,2.99,2.49,0
"4180","Cuba",1993,9.15,5.74,2,2.73,0
"4181","Cyprus",1993,2.22,1.18,1.32,0.2,0
"4182","Czech Republic",1993,64.02,33.42,8.12,22.41,0
"4183","Denmark",1993,31.74,5.7,11.07,8.78,0.4057
"4184","Djibouti",1993,NA,NA,NA,NA,0
"4185","Dominica",1993,NA,NA,NA,NA,0
"4186","Dominican Republic",1993,4,0.76,2.63,1.54,0
"4187","Ecuador",1993,1.85,2.8,8.08,1.5,1.1752
"4188","Egypt",1993,27.31,30.87,18.09,8.02,2.3666
"4189","El Salvador",1993,0.84,0.87,1.73,0.23,0
"4190","Equatorial Guinea",1993,NA,NA,NA,NA,0.9285
"4191","Eritrea",1993,0.33,0.04,0.21,0.05,NA
"4192","Estonia",1993,13.99,1.87,1.16,0.97,0
"4193","Ethiopia",1993,0.07,0.46,0.87,0.45,0
"4194","European Union (15)",1993,1107.46,546.7,719.58,648.48,5.7422
"4195","European Union (28)",1993,1572.85,689.57,785.34,792.33,5.7422
"4196","Fiji",1993,NA,NA,NA,NA,0
"4197","Finland",1993,21.99,14.24,11.01,7.47,0
"4198","France",1993,50.23,78.36,119.9,100.81,0
"4199","Gabon",1993,0.33,0.33,0.39,0.16,3.4407
"4200","Gambia, The",1993,NA,NA,NA,NA,0
"4201","Georgia",1993,6.06,3.23,2.04,4.7,0
"4202","Germany",1993,375.97,137.48,167.36,199.06,0.6521
"4203","Ghana",1993,0.09,0.47,1.78,0.48,0
"4204","Greece",1993,38.4,9.05,16.44,7.79,0.0021
"4205","Grenada",1993,NA,NA,NA,NA,0
"4206","Guatemala",1993,0.9,1.03,2.03,0.63,0
"4207","Guinea",1993,NA,NA,NA,NA,0
"4208","Guinea-Bissau",1993,NA,NA,NA,NA,0
"4209","Guyana",1993,NA,NA,NA,NA,0
"4210","Haiti",1993,0.08,0.15,0.38,0.06,0
"4211","Honduras",1993,0.16,0.76,1.31,0.35,0
"4212","Hungary",1993,24.69,9.89,7.02,16.29,0
"4213","Iceland",1993,0.01,0.47,0.63,0.83,0
"4214","India",1993,339.5,176.15,68.14,93.22,5.0033
"4215","Indonesia",1993,62.28,52.25,40.07,26.63,12.4138
"4216","Iran",1993,53.85,45.7,49.3,67.61,15.8459
"4217","Iraq",1993,46.22,9.84,24.26,7.11,0.091
"4218","Ireland",1993,12.02,4.6,5.51,9.23,0
"4219","Israel",1993,24,4.25,7.29,4.9,0
"4220","Italy",1993,134.41,74.75,104.42,77.43,0
"4221","Jamaica",1993,4.71,1.79,1.15,0.37,0
"4222","Japan",1993,410,260.55,229.86,168.99,0
"4223","Jordan",1993,4.66,1.31,2.72,2.15,0
"4224","Kazakhstan",1993,100.63,78.9,13.05,24.66,0.5462
"4225","Kenya",1993,0.49,1.63,2.36,0.85,0
"4226","Kiribati",1993,NA,NA,NA,NA,0
"4227","Korea, Dem. Rep. (North)",1993,11.29,58.05,3.07,15.34,0
"4228","Korea, Rep. (South)",1993,94.63,76.99,60.85,71.72,0
"4229","Kuwait",1993,16.08,9.08,4.73,0.26,0.9103
"4230","Kyrgyzstan",1993,1.5,2.86,1.56,3.75,0
"4231","Laos",1993,NA,NA,NA,NA,0
"4232","Latvia",1993,5.26,1.56,2.29,2.54,0
"4233","Lebanon",1993,3.16,0.7,3.73,2.55,0
"4234","Lesotho",1993,NA,NA,NA,NA,0
"4235","Liberia",1993,NA,NA,NA,NA,0
"4236","Libya",1993,15.7,3.97,7.36,1.6,3.1495
"4237","Lithuania",1993,7.36,2.27,3.05,2.97,0
"4238","Luxembourg",1993,1.63,4.33,3.44,1.46,0
"4239","Macedonia, FYR",1993,5.8,1.1,1.44,0.17,0
"4240","Madagascar",1993,NA,NA,NA,NA,0
"4241","Malawi",1993,NA,NA,NA,NA,0
"4242","Malaysia",1993,29.6,22,16.74,2.66,0
"4243","Maldives",1993,NA,NA,NA,NA,0
"4244","Mali",1993,NA,NA,NA,NA,0
"4245","Malta",1993,2.08,0,0.59,0.1,0
"4246","Mauritania",1993,NA,NA,NA,NA,0
"4247","Mauritius",1993,0.52,0.26,0.54,0.13,0
"4248","Mexico",1993,110.26,59.06,91.32,29.33,2.8468
"4249","Moldova",1993,10.37,1.25,1.38,3.85,0
"4250","Mongolia",1993,7.08,2.38,0.97,1.2,0
"4251","Montenegro",1993,NA,NA,NA,NA,NA
"4252","Morocco",1993,9.18,4.84,5.17,3.58,0
"4253","Mozambique",1993,0.06,0.2,0.84,0.18,0
"4254","Myanmar",1993,1.9,0.9,1.57,0.4,0
"4255","Namibia",1993,0.21,0.02,0.52,0.66,0
"4256","Nauru",1993,NA,NA,NA,NA,0
"4257","Nepal",1993,0.05,0.19,0.48,0.57,0
"4258","Netherlands",1993,63.39,35.87,27.55,41.18,0.2705
"4259","New Zealand",1993,5.39,7.06,9.34,2.33,0
"4260","Nicaragua",1993,0.73,0.25,0.94,0.17,0
"4261","Niger",1993,NA,NA,NA,NA,0
"4262","Nigeria",1993,11.69,5.21,15.91,4.34,46.9141
"4263","Niue",1993,NA,NA,NA,NA,0
"4264","Norway",1993,11.64,5.48,10.89,3.44,0.6499
"4265","Oman",1993,6.49,3.24,2.06,0.77,1.1105
"4266","Pakistan",1993,20.12,22.92,18.22,8.85,0
"4267","Palau",1993,NA,NA,NA,NA,NA
"4268","Panama",1993,1.07,0.72,1.53,0.25,0
"4269","Papua New Guinea",1993,NA,NA,NA,NA,0
"4270","Paraguay",1993,0.03,0.15,2.25,0.15,0
"4271","Peru",1993,4.09,4.9,6.98,4.23,0.4039
"4272","Philippines",1993,12.85,10.28,16.74,3.94,0
"4273","Poland",1993,197.23,49.23,20.69,68.15,0
"4274","Portugal",1993,18.75,8.84,11.79,4.02,0
"4275","Qatar",1993,9.93,5.59,1.66,0.11,0
"4276","Romania",1993,80.82,18.66,8.29,8.7,0
"4277","Russian Federation",1993,1087.82,222.06,233.59,284.72,0
"4278","Rwanda",1993,NA,NA,NA,NA,0
"4279","Saint Kitts & Nevis",1993,NA,NA,NA,NA,0
"4280","Saint Lucia",1993,NA,NA,NA,NA,0
"4281","Saint Vincent & Grenadines",1993,NA,NA,NA,NA,0
"4282","Samoa",1993,NA,NA,NA,NA,0
"4283","Sao Tome & Principe",1993,NA,NA,NA,NA,0
"4284","Saudi Arabia",1993,89.1,33.42,56.85,2.88,18.0229
"4285","Senegal",1993,0.95,0.28,0.75,0.28,0
"4286","Serbia",1993,30.93,4.6,2.67,3.98,NA
"4287","Seychelles",1993,NA,NA,NA,NA,0
"4288","Sierra Leone",1993,NA,NA,NA,NA,0
"4289","Singapore",1993,30.31,1.64,4.67,0.74,0
"4290","Slovakia",1993,17.54,11.83,2.91,11,0
"4291","Slovenia",1993,5.93,1.74,3.06,2.37,0
"4292","Solomon Islands",1993,NA,NA,NA,NA,0
"4293","South Africa",1993,154.68,48.03,29.92,19.36,0
"4294","Spain",1993,77.31,41.96,67.9,22.97,0.0262
"4295","Sri Lanka",1993,0.41,0.64,2.96,0.75,0
"4296","Sudan",1993,0.88,0.28,2.03,0.15,0
"4297","Suriname",1993,NA,NA,NA,NA,0
"4298","Swaziland",1993,NA,NA,NA,NA,0
"4299","Sweden",1993,11.87,14.92,19.33,9.65,0
"4300","Switzerland",1993,2.68,5.74,14.18,19.29,0
"4301","Syria",1993,8.62,5.84,7.43,7.77,0.6631
"4302","Tajikistan",1993,1.28,0,0.29,3.41,0
"4303","Tanzania",1993,0.35,0.44,0.7,0.24,0
"4304","Thailand",1993,43.42,24.16,34.97,7.9,0
"4305","Togo",1993,0.07,0,0.17,0.02,0
"4306","Tonga",1993,NA,NA,NA,NA,0
"4307","Trinidad & Tobago",1993,5.25,4.88,1.21,0.23,4.3734
"4308","Tunisia",1993,4.67,3.41,2.93,2.92,0.7961
"4309","Turkey",1993,44.04,34.65,32.19,29.5,0.0733
"4310","Turkmenistan",1993,8.39,1.37,6.14,10.24,0
"4311","Uganda",1993,NA,NA,NA,NA,0
"4312","Ukraine",1993,257.41,130.69,35.11,63.31,0
"4313","United Arab Emirates",1993,17.1,29.85,12.47,0.26,0.9264
"4314","United Kingdom",1993,221.67,78.61,116.36,116.48,4.3857
"4315","United States",1993,2310.74,623.68,1446.71,626.1,12.7537
"4316","Uruguay",1993,0.62,0.72,1.93,1.11,0
"4317","Uzbekistan",1993,46.81,2.33,6.02,58.59,0
"4318","Vanuatu",1993,NA,NA,NA,NA,0
"4319","Venezuela",1993,43.46,30.26,31.59,5.43,6.8609
"4320","Vietnam",1993,2.74,7.25,6.83,4.16,1.4048
"4321","World",1993,8861.61,4295.85,4772.95,3231.68,200.8489
"4322","Yemen",1993,2.15,0,4.36,1.2,0
"4323","Zambia",1993,0.17,1.37,0.65,0.22,0
"4324","Zimbabwe",1993,7.89,3.84,1.95,2.73,0
"4325","Afghanistan",1994,NA,NA,NA,NA,0
"4326","Albania",1994,0.63,0.69,0.63,0.33,0.0725
"4327","Algeria",1994,24.93,7.73,15.37,8.1,14.0953
"4328","Angola",1994,0.42,1.68,1.53,0.63,2.4213
"4329","Antigua & Barbuda",1994,NA,NA,NA,NA,0
"4330","Argentina",1994,32.32,23.2,36.78,23.9,4.0884
"4331","Armenia",1994,0.82,0.73,0.16,1.05,0
"4332","Australia",1994,149.53,49.2,64.17,12.77,0.2777
"4333","Austria",1994,18.87,9.84,15.2,12.24,0
"4334","Azerbaijan",1994,16.84,9.48,3.24,6.21,14.0724
"4335","Bahamas, The",1994,NA,NA,NA,NA,0
"4336","Bahrain",1994,11.97,1.84,1.18,0.16,0
"4337","Bangladesh",1994,6.07,4.85,2.19,3.24,0
"4338","Barbados",1994,NA,NA,NA,NA,0
"4339","Belarus",1994,42.14,11.03,6.67,10.71,0
"4340","Belgium",1994,32.81,31,22.74,28.93,0
"4341","Belize",1994,NA,NA,NA,NA,0
"4342","Benin",1994,0.03,0.02,0.12,0.04,0
"4343","Bhutan",1994,NA,NA,NA,NA,0
"4344","Bolivia",1994,1.83,0.81,2.75,0.71,2.4342
"4345","Bosnia & Herzegovina",1994,0.67,0.65,0.96,0.75,0
"4346","Botswana",1994,1.63,0.47,0.76,0.17,0
"4347","Brazil",1994,29.89,64.52,93.23,31.21,1.953
"4348","Brunei",1994,3.16,0.19,0.72,0.06,0
"4349","Bulgaria",1994,34.49,8.99,3.9,5.24,0
"4350","Burkina Faso",1994,NA,NA,NA,NA,0
"4351","Burundi",1994,NA,NA,NA,NA,0
"4352","Cambodia",1994,NA,NA,NA,NA,0
"4353","Cameroon",1994,0.03,0.2,1.74,0.61,4.5148
"4354","Canada",1994,141.82,87.08,132.46,88.41,4.2831
"4355","Cape Verde",1994,NA,NA,NA,NA,0
"4356","Central African Republic",1994,NA,NA,NA,NA,0
"4357","Chad",1994,NA,NA,NA,NA,0
"4358","Chile",1994,9.16,10.12,12.21,4.57,0.226
"4359","China",1994,1065.78,1116.41,132.43,460.39,0
"4360","Colombia",1994,12.34,19.42,16.85,7.5,0.3229
"4361","Comoros",1994,NA,NA,NA,NA,0
"4362","Congo, Dem. Rep.",1994,0.04,0.01,0.45,0.71,0
"4363","Congo, Rep.",1994,0,0.06,0.36,0.07,2.3667
"4364","Cook Islands",1994,NA,NA,NA,NA,0
"4365","Costa Rica",1994,0.89,0.65,2.57,0.3,0
"4366","Cote d'Ivoire",1994,1.06,0.45,1.08,0.51,0
"4367","Croatia",1994,5.48,3.76,3.15,2.57,0
"4368","Cuba",1994,10.37,6.01,1.93,2.81,0
"4369","Cyprus",1994,2.35,1.21,1.37,0.2,0
"4370","Czech Republic",1994,63.8,28.24,8.74,21.37,0
"4371","Denmark",1994,35.86,5.75,11.51,8.05,0.4059
"4372","Djibouti",1994,NA,NA,NA,NA,0
"4373","Dominica",1994,NA,NA,NA,NA,0
"4374","Dominican Republic",1994,4.9,0.96,3.12,1.57,0
"4375","Ecuador",1994,1.81,3.19,8.59,1.6,1.1752
"4376","Egypt",1994,26.69,23.26,19.82,9.18,2.1847
"4377","El Salvador",1994,1.2,0.86,1.84,0.25,0
"4378","Equatorial Guinea",1994,NA,NA,NA,NA,0.9284
"4379","Eritrea",1994,0.32,0.05,0.28,0.05,0
"4380","Estonia",1994,13.68,1.8,1.39,0.79,0
"4381","Ethiopia",1994,0.07,0.58,0.97,0.5,0
"4382","European Union (15)",1994,1124.24,560.99,723.82,619.45,7.8296
"4383","European Union (28)",1994,1568.19,711.09,791.23,751.74,7.8296
"4384","Fiji",1994,NA,NA,NA,NA,0
"4385","Finland",1994,26.63,15.63,11.45,7.58,0
"4386","France",1994,51.09,77.64,120.79,95.17,0
"4387","Gabon",1994,0.25,0.43,0.31,0.18,3.2404
"4388","Gambia, The",1994,NA,NA,NA,NA,0
"4389","Georgia",1994,4.48,2.19,1.49,2.24,0
"4390","Germany",1994,376.24,139.31,164.81,188.14,1.3414
"4391","Ghana",1994,0.12,0.52,1.86,0.54,0
"4392","Greece",1994,39.87,8.93,16.53,7.84,0.0031
"4393","Grenada",1994,NA,NA,NA,NA,0
"4394","Guatemala",1994,1,1.08,2.15,0.65,0
"4395","Guinea",1994,NA,NA,NA,NA,0
"4396","Guinea-Bissau",1994,NA,NA,NA,NA,0
"4397","Guyana",1994,NA,NA,NA,NA,0
"4398","Haiti",1994,0.03,0.02,0.11,0.03,0
"4399","Honduras",1994,0.32,0.77,1.52,0.35,0
"4400","Hungary",1994,24.12,9.57,6.85,16.8,0
"4401","Iceland",1994,0.01,0.55,0.65,0.83,0
"4402","India",1994,354.99,186.62,70.19,102.99,4.0027
"4403","Indonesia",1994,63.5,56.26,44.89,27.54,9.4766
"4404","Iran",1994,57.3,50.39,56.17,81.52,16.3415
"4405","Iraq",1994,55.5,10.6,24.54,7.68,0.0912
"4406","Ireland",1994,12.47,4.88,5.75,9.4,0
"4407","Israel",1994,25.65,4.44,7.81,5.19,0
"4408","Italy",1994,136.84,77.31,104.07,69.09,0
"4409","Jamaica",1994,4.01,2.61,1.15,0.33,0
"4410","Japan",1994,452.65,263.67,241.74,164.21,0
"4411","Jordan",1994,4.83,1.67,2.72,2.27,0
"4412","Kazakhstan",1994,103.31,58.61,8.96,19.65,0.8192
"4413","Kenya",1994,0.56,1.67,2.25,0.8,0
"4414","Kiribati",1994,NA,NA,NA,NA,0
"4415","Korea, Dem. Rep. (North)",1994,11.82,51.61,2.06,14.52,0
"4416","Korea, Rep. (South)",1994,105.96,85.41,63.9,73.77,0
"4417","Kuwait",1994,21.13,8.99,4.99,0.28,0.9104
"4418","Kyrgyzstan",1994,1.17,2.6,0.5,2.01,0
"4419","Laos",1994,NA,NA,NA,NA,0
"4420","Latvia",1994,4.42,1.42,2.12,2.12,0
"4421","Lebanon",1994,3.49,1.15,3.5,3.01,0
"4422","Lesotho",1994,NA,NA,NA,NA,0
"4423","Liberia",1994,NA,NA,NA,NA,0
"4424","Libya",1994,18.2,4.35,8.75,1.79,3.2224
"4425","Lithuania",1994,7.27,2.54,2.4,2.7,0
"4426","Luxembourg",1994,1.29,3.85,3.49,1.4,0
"4427","Macedonia, FYR",1994,5.82,0.88,0.93,0.6,0
"4428","Madagascar",1994,NA,NA,NA,NA,0
"4429","Malawi",1994,NA,NA,NA,NA,0
"4430","Malaysia",1994,31.25,22.04,18.48,3.83,0
"4431","Maldives",1994,NA,NA,NA,NA,0
"4432","Mali",1994,NA,NA,NA,NA,0
"4433","Malta",1994,1.79,0,0.59,0.1,0
"4434","Mauritania",1994,NA,NA,NA,NA,0
"4435","Mauritius",1994,0.6,0.23,0.54,0.13,0
"4436","Mexico",1994,124.56,60.72,95.16,30.24,2.7876
"4437","Moldova",1994,7.97,0.99,1.16,3.57,0
"4438","Mongolia",1994,6.51,1.8,0.66,1.14,0
"4439","Montenegro",1994,NA,NA,NA,NA,NA
"4440","Morocco",1994,10.12,5.43,5.58,3.81,0
"4441","Mozambique",1994,0.03,0.2,0.69,0.15,0
"4442","Myanmar",1994,2.2,1.04,1.81,0.53,0
"4443","Namibia",1994,0.23,0.02,0.57,0.82,0
"4444","Nauru",1994,NA,NA,NA,NA,0
"4445","Nepal",1994,0.07,0.32,0.55,0.65,0
"4446","Netherlands",1994,65.85,36.02,28.06,39.59,0.2923
"4447","New Zealand",1994,4.72,7.26,10,2.67,0.0574
"4448","Nicaragua",1994,0.83,0.32,1,0.23,0
"4449","Niger",1994,NA,NA,NA,NA,0
"4450","Nigeria",1994,10.54,4.51,12.77,3.58,48.9896
"4451","Niue",1994,NA,NA,NA,NA,0
"4452","Norway",1994,12.29,6.4,10.73,3.61,0.7162
"4453","Oman",1994,7.1,2.44,2.09,0.86,0.8372
"4454","Pakistan",1994,22.36,22.8,19.27,9.52,0
"4455","Palau",1994,NA,NA,NA,NA,NA
"4456","Panama",1994,1.1,0.8,1.63,0.28,0
"4457","Papua New Guinea",1994,NA,NA,NA,NA,0
"4458","Paraguay",1994,0,0.33,2.54,0.17,0
"4459","Peru",1994,3.8,4.81,7.92,4.42,0.4039
"4460","Philippines",1994,15.03,9.68,18.29,4.11,0
"4461","Poland",1994,196.39,50.6,21.36,61.69,0
"4462","Portugal",1994,18.77,9.56,12.39,4.07,0
"4463","Qatar",1994,10.49,5.69,1.77,0.13,0
"4464","Romania",1994,68.79,28.02,8.81,7.33,0
"4465","Russian Federation",1994,1001.32,175.79,205.31,229.22,0
"4466","Rwanda",1994,NA,NA,NA,NA,0
"4467","Saint Kitts & Nevis",1994,NA,NA,NA,NA,0
"4468","Saint Lucia",1994,NA,NA,NA,NA,0
"4469","Saint Vincent & Grenadines",1994,NA,NA,NA,NA,0
"4470","Samoa",1994,NA,NA,NA,NA,0
"4471","Sao Tome & Principe",1994,NA,NA,NA,NA,0
"4472","Saudi Arabia",1994,91.09,38.8,60.61,2.99,18.5689
"4473","Senegal",1994,1,0.31,0.74,0.27,0
"4474","Serbia",1994,28.29,4.05,2.6,3.47,NA
"4475","Seychelles",1994,NA,NA,NA,NA,0
"4476","Sierra Leone",1994,NA,NA,NA,NA,0
"4477","Singapore",1994,31.67,1.74,5.08,0.75,0
"4478","Slovakia",1994,15.84,11.92,3.32,9.23,0
"4479","Slovenia",1994,5.53,2.03,3.41,2.15,0
"4480","Solomon Islands",1994,NA,NA,NA,NA,0
"4481","South Africa",1994,158.52,49.32,31.01,18.75,0
"4482","Spain",1994,79.26,46.19,70.22,24.2,0.002
"4483","Sri Lanka",1994,0.44,0.63,3.45,0.83,0
"4484","Sudan",1994,0.67,1.04,2.95,0.18,0
"4485","Suriname",1994,NA,NA,NA,NA,0
"4486","Swaziland",1994,NA,NA,NA,NA,0
"4487","Sweden",1994,12.39,15.51,20.08,10.07,0
"4488","Switzerland",1994,2.88,6.01,14.54,17.46,0
"4489","Syria",1994,10.36,6.41,7.45,6.7,0.6693
"4490","Tajikistan",1994,0.71,0,0.19,2.01,0
"4491","Tanzania",1994,0.43,0.43,0.7,0.24,0
"4492","Thailand",1994,47.91,30.47,38.86,8.04,0
"4493","Togo",1994,0.11,0.11,0.32,0.05,0
"4494","Tonga",1994,NA,NA,NA,NA,0
"4495","Trinidad & Tobago",1994,5.26,5.5,1.27,0.18,4.7243
"4496","Tunisia",1994,4.74,3.18,3.06,3,0.7347
"4497","Turkey",1994,49.46,31.53,31.27,26.41,0.1162
"4498","Turkmenistan",1994,11.3,1.5,3.35,16.37,0
"4499","Uganda",1994,NA,NA,NA,NA,0
"4500","Ukraine",1994,218.24,98.23,31.96,59.73,0
"4501","United Arab Emirates",1994,18.81,34.08,12.36,0.28,0.7098
"4502","United Kingdom",1994,216,79.57,116.73,113.68,5.7849
"4503","United States",1994,2335.26,636.17,1499.2,617.22,12.8224
"4504","Uruguay",1994,0.13,0.66,2.18,1.1,0
"4505","Uzbekistan",1994,41.49,6.75,5.97,58.23,0
"4506","Vanuatu",1994,NA,NA,NA,NA,0
"4507","Venezuela",1994,44.44,30.29,32.07,4.96,6.4199
"4508","Vietnam",1994,3.66,7.38,7.53,4.64,1.4053
"4509","World",1994,8960.76,4335.32,4868.45,3128.14,201.3129
"4510","Yemen",1994,2.33,0,4.4,1.34,0
"4511","Zambia",1994,0.15,0.92,0.8,0.2,0
"4512","Zimbabwe",1994,8.34,2.37,1.73,2.82,0
"4513","Afghanistan",1995,NA,NA,NA,NA,0
"4514","Albania",1995,0.33,0.59,0.62,0.32,0
"4515","Algeria",1995,25.85,7.88,14.96,8.03,14.5676
"4516","Angola",1995,0.41,1.83,1.06,0.66,6.8087
"4517","Antigua & Barbuda",1995,NA,NA,NA,NA,0
"4518","Argentina",1995,34.02,23.34,37.93,24.54,3.9973
"4519","Armenia",1995,1.38,0.57,0.11,1.35,0
"4520","Australia",1995,155.61,50.05,66.85,13.45,0.3039
"4521","Austria",1995,20.44,10.12,15.41,13.37,0
"4522","Azerbaijan",1995,15.33,10.23,3.34,5,13.2896
"4523","Bahamas, The",1995,NA,NA,NA,NA,0
"4524","Bahrain",1995,12.08,1.93,1.23,0.15,0
"4525","Bangladesh",1995,6.7,7.18,2.64,3.74,0
"4526","Barbados",1995,NA,NA,NA,NA,0
"4527","Belarus",1995,36.59,8.44,6.62,10.05,0
"4528","Belgium",1995,32.69,29.35,22.6,30.56,0
"4529","Belize",1995,NA,NA,NA,NA,0
"4530","Benin",1995,0.03,0.03,0.12,0.04,0
"4531","Bhutan",1995,NA,NA,NA,NA,0
"4532","Bolivia",1995,2.17,0.89,3.06,0.77,0.9008
"4533","Bosnia & Herzegovina",1995,0.78,0.66,0.98,0.82,0
"4534","Botswana",1995,1.72,0.4,0.89,0.15,0
"4535","Brazil",1995,31.36,68.09,103.12,33.01,1.953
"4536","Brunei",1995,3.46,0.21,0.77,0.06,0
"4537","Bulgaria",1995,35.05,10.16,4.15,3.93,0
"4538","Burkina Faso",1995,NA,NA,NA,NA,0
"4539","Burundi",1995,NA,NA,NA,NA,0
"4540","Cambodia",1995,0.16,0.03,1.16,0.12,0
"4541","Cameroon",1995,0.03,0.22,1.69,0.56,4.4055
